# model output #1: KGE_LAI_C31
# ii     para_name    elemeffect(ii),ii=1:72,jj=1:1      counter(ii),ii=1:72,jj=1:1 
0   x_{01}   0.01908143   1
1   x_{02}   0.00000000   0
2   x_{03}   0.00000000   0
3   x_{04}   0.00000000   0
4   x_{05}   0.00000000   0
5   x_{06}   0.00000000   0
6   x_{07}   0.02554913   1
7   x_{08}   0.00000000   0
8   x_{09}   0.00314762   1
9   x_{10}   0.07030070   1
10   x_{11}   0.00161410   1
11   x_{12}   0.00000000   0
12   x_{13}   0.00182589   1
13   x_{14}   0.00000000   0
14   x_{15}   0.00000000   1
15   x_{16}   0.00000000   1
16   x_{17}   6.11950000e-05   1
17   x_{18}   0.01172294   1
18   x_{19}   0.00899921   1
19   x_{20}   0.01301855   1
20   x_{21}   0.00000000   0
21   x_{22}   0.00000000   0
22   x_{23}   0.00000000   1
23   x_{24}   0.00000000   1
24   x_{25}   0.00000000   0
25   x_{26}   0.00000000   0
26   x_{27}   0.04463216   1
27   x_{28}   0.00000000   0
28   x_{29}   0.00000000   0
29   x_{30}   0.00000000   0
30   x_{31}   0.00384500   1
31   x_{32}   0.03555318   1
32   x_{33}   3.84748333e-04   1
33   x_{34}   0.01170814   1
34   x_{35}   0.00000000   1
35   x_{36}   0.00000000   1
36   x_{37}   0.00163913   1
37   x_{38}   0.00000000   0
38   x_{39}   0.07850895   1
39   x_{40}   0.00000000   1
40   x_{41}   0.00648469   1
41   x_{42}   0.00000000   0
42   x_{43}   0.00187904   1
43   x_{44}   0.00000000   0
44   x_{45}   0.01306256   1
45   x_{46}   0.00000000   0
46   x_{47}   0.03485044   1
47   x_{48}   0.12321065   1
48   x_{49}   0.00341584   1
49   x_{50}   0.00171741   1
50   x_{51}   0.00000000   0
51   x_{52}   0.00000000   0
52   x_{53}   0.00000000   1
53   x_{54}   0.00000000   0
54   x_{55}   0.00000000   0
55   x_{56}   0.00000000   0
56   x_{57}   0.00000000   0
57   x_{58}   0.00000000   0
58   x_{59}   0.00000000   0
59   x_{60}   0.00000000   0
60   x_{61}   0.00000000   1
61   x_{62}   0.00000000   1
62   x_{63}   0.00000000   1
63   x_{64}   0.00000000   1
64   x_{65}   0.00000000   1
65   x_{66}   0.00000000   1
66   x_{67}   0.00000000   1
67   x_{68}   0.00000000   1
68   x_{69}   0.00000000   1
69   x_{70}   0.00000000   1
70   x_{71}   0.00000000   1
71   x_{72}   0.00000000   1
