time[d],date,hour,sub116 [mg/l],sub178 [mg/l]
0,1981-01-01,00:00:00.00,0,0
1,1981-01-02,00:00:00.00,0,0
2,1981-01-03,00:00:00.00,0,0
3,1981-01-04,00:00:00.00,0,0
4,1981-01-05,00:00:00.00,0,0
5,1981-01-06,00:00:00.00,0,0
6,1981-01-07,00:00:00.00,0,0
7,1981-01-08,00:00:00.00,0,0
8,1981-01-09,00:00:00.00,0,0
9,1981-01-10,00:00:00.00,0,0
10,1981-01-11,00:00:00.00,0,0
11,1981-01-12,00:00:00.00,0,0
12,1981-01-13,00:00:00.00,0,0
13,1981-01-14,00:00:00.00,0,0
14,1981-01-15,00:00:00.00,0,0
15,1981-01-16,00:00:00.00,0,0
16,1981-01-17,00:00:00.00,0,0
17,1981-01-18,00:00:00.00,0,0
18,1981-01-19,00:00:00.00,0,0
19,1981-01-20,00:00:00.00,0,0
20,1981-01-21,00:00:00.00,0,0
21,1981-01-22,00:00:00.00,0,0
22,1981-01-23,00:00:00.00,0,0
23,1981-01-24,00:00:00.00,0,0
24,1981-01-25,00:00:00.00,0,0
25,1981-01-26,00:00:00.00,0,0
26,1981-01-27,00:00:00.00,0,0
27,1981-01-28,00:00:00.00,0,0
28,1981-01-29,00:00:00.00,0,0
29,1981-01-30,00:00:00.00,0,0
30,1981-01-31,00:00:00.00,0,0
31,1981-02-01,00:00:00.00,0,0
32,1981-02-02,00:00:00.00,0,0
33,1981-02-03,00:00:00.00,0,0
34,1981-02-04,00:00:00.00,0,0
35,1981-02-05,00:00:00.00,0,0
36,1981-02-06,00:00:00.00,0,0
37,1981-02-07,00:00:00.00,0,0
38,1981-02-08,00:00:00.00,0,0
39,1981-02-09,00:00:00.00,0,0
40,1981-02-10,00:00:00.00,0,0
41,1981-02-11,00:00:00.00,0,0
42,1981-02-12,00:00:00.00,0,0
43,1981-02-13,00:00:00.00,0,0
44,1981-02-14,00:00:00.00,0,0
45,1981-02-15,00:00:00.00,0,0
46,1981-02-16,00:00:00.00,0,0
47,1981-02-17,00:00:00.00,0,0
48,1981-02-18,00:00:00.00,0,0
49,1981-02-19,00:00:00.00,0,0
50,1981-02-20,00:00:00.00,0,0
51,1981-02-21,00:00:00.00,0,0
52,1981-02-22,00:00:00.00,0,0
53,1981-02-23,00:00:00.00,0,0
54,1981-02-24,00:00:00.00,0,0
55,1981-02-25,00:00:00.00,0,0
56,1981-02-26,00:00:00.00,0,0
57,1981-02-27,00:00:00.00,0,0
58,1981-02-28,00:00:00.00,0,0
59,1981-03-01,00:00:00.00,0,0
60,1981-03-02,00:00:00.00,0,0
61,1981-03-03,00:00:00.00,0,0
62,1981-03-04,00:00:00.00,0,0
63,1981-03-05,00:00:00.00,0,0
64,1981-03-06,00:00:00.00,0,0
65,1981-03-07,00:00:00.00,0,0
66,1981-03-08,00:00:00.00,0,0
67,1981-03-09,00:00:00.00,0,0
68,1981-03-10,00:00:00.00,0,0
69,1981-03-11,00:00:00.00,0,0
70,1981-03-12,00:00:00.00,0,0
71,1981-03-13,00:00:00.00,0,0
72,1981-03-14,00:00:00.00,0,0
73,1981-03-15,00:00:00.00,0,0
74,1981-03-16,00:00:00.00,0,0
75,1981-03-17,00:00:00.00,0,0
76,1981-03-18,00:00:00.00,0,0
77,1981-03-19,00:00:00.00,0,0
78,1981-03-20,00:00:00.00,0,0
79,1981-03-21,00:00:00.00,0,0
80,1981-03-22,00:00:00.00,0,0
81,1981-03-23,00:00:00.00,0,0
82,1981-03-24,00:00:00.00,0,0
83,1981-03-25,00:00:00.00,0,0
84,1981-03-26,00:00:00.00,0,0
85,1981-03-27,00:00:00.00,0,0
86,1981-03-28,00:00:00.00,0,0
87,1981-03-29,00:00:00.00,0,0
88,1981-03-30,00:00:00.00,0,0
89,1981-03-31,00:00:00.00,1.4914e-11,3.60193e-11
90,1981-04-01,00:00:00.00,3.64761e-09,6.04885e-09
91,1981-04-02,00:00:00.00,2.82256e-08,5.08599e-08
92,1981-04-03,00:00:00.00,1.51469e-07,2.55301e-07
93,1981-04-04,00:00:00.00,2.25316e-07,4.38648e-07
94,1981-04-05,00:00:00.00,6.72585e-07,1.24031e-06
95,1981-04-06,00:00:00.00,7.8764e-06,9.09195e-06
96,1981-04-07,00:00:00.00,1.76991e-05,2.18564e-05
97,1981-04-08,00:00:00.00,4.36655e-05,5.15794e-05
98,1981-04-09,00:00:00.00,8.518e-05,0.000101208
99,1981-04-10,00:00:00.00,3.58047e-05,6.41991e-05
100,1981-04-11,00:00:00.00,5.00389e-05,9.18272e-05
101,1981-04-12,00:00:00.00,0.00026626,0.000334873
102,1981-04-13,00:00:00.00,0.000445948,0.000560667
103,1981-04-14,00:00:00.00,2.99823e-05,6.35931e-05
104,1981-04-15,00:00:00.00,4.00125e-05,8.12061e-05
105,1981-04-16,00:00:00.00,0.000267937,0.00038576
106,1981-04-17,00:00:00.00,0.000449721,0.000652314
107,1981-04-18,00:00:00.00,0.000706888,0.00103171
108,1981-04-19,00:00:00.00,0.00113791,0.00166832
109,1981-04-20,00:00:00.00,0.00171387,0.0025223
110,1981-04-21,00:00:00.00,0.00268842,0.00396785
111,1981-04-22,00:00:00.00,0.00418075,0.00618342
112,1981-04-23,00:00:00.00,0.00567448,0.00840718
113,1981-04-24,00:00:00.00,0.000122283,0.000263484
114,1981-04-25,00:00:00.00,0.000238443,0.000486995
115,1981-04-26,00:00:00.00,0.00146067,0.00217259
116,1981-04-27,00:00:00.00,0.0021783,0.00325538
117,1981-04-28,00:00:00.00,0.00334844,0.00502636
118,1981-04-29,00:00:00.00,0.00480927,0.00724145
119,1981-04-30,00:00:00.00,0.00801328,0.0121186
120,1981-05-01,00:00:00.00,0.0135265,0.0205304
121,1981-05-02,00:00:00.00,0.0247364,0.0376485
122,1981-05-03,00:00:00.00,0.0431739,0.0656411
123,1981-05-04,00:00:00.00,0.000230283,0.000500126
124,1981-05-05,00:00:00.00,6.95314e-05,0.000142454
125,1981-05-06,00:00:00.00,0.000135344,0.000246998
126,1981-05-07,00:00:00.00,0.000523367,0.000815703
127,1981-05-08,00:00:00.00,0.000973575,0.00153234
128,1981-05-09,00:00:00.00,0.00165863,0.00262282
129,1981-05-10,00:00:00.00,0.00270776,0.00430099
130,1981-05-11,00:00:00.00,0.00414941,0.00659829
131,1981-05-12,00:00:00.00,0.00615862,0.00979676
132,1981-05-13,00:00:00.00,0.00888192,0.0141214
133,1981-05-14,00:00:00.00,0.0125767,0.0199768
134,1981-05-15,00:00:00.00,0.0193357,0.0308646
135,1981-05-16,00:00:00.00,0.0270014,0.0430455
136,1981-05-17,00:00:00.00,0.0433414,0.0694207
137,1981-05-18,00:00:00.00,0.0696271,0.111535
138,1981-05-19,00:00:00.00,0.121477,0.192812
139,1981-05-20,00:00:00.00,0.238284,0.361507
140,1981-05-21,00:00:00.00,0.487509,0.642292
141,1981-05-22,00:00:00.00,0.916982,0.954589
142,1981-05-23,00:00:00.00,1,1
143,1981-05-24,00:00:00.00,1,1
144,1981-05-25,00:00:00.00,1,1
145,1981-05-26,00:00:00.00,1,1
146,1981-05-27,00:00:00.00,1,1
147,1981-05-28,00:00:00.00,1,1
148,1981-05-29,00:00:00.00,1,1
149,1981-05-30,00:00:00.00,1,1
150,1981-05-31,00:00:00.00,1,1
151,1981-06-01,00:00:00.00,1,1
152,1981-06-02,00:00:00.00,1,1
153,1981-06-03,00:00:00.00,0.00031103,0.000649664
154,1981-06-04,00:00:00.00,0.000188507,0.000351883
155,1981-06-05,00:00:00.00,0.000391218,0.000660366
156,1981-06-06,00:00:00.00,0.00136523,0.0020744
157,1981-06-07,00:00:00.00,0.00266279,0.00407054
158,1981-06-08,00:00:00.00,0.00330441,0.00525427
159,1981-06-09,00:00:00.00,0.00386326,0.0063983
160,1981-06-10,00:00:00.00,0.00584508,0.00944228
161,1981-06-11,00:00:00.00,0.0116266,0.0173886
162,1981-06-12,00:00:00.00,0.00769679,0.013139
163,1981-06-13,00:00:00.00,0.012157,0.019689
164,1981-06-14,00:00:00.00,0.0274671,0.0401068
165,1981-06-15,00:00:00.00,0.00178072,0.00316849
166,1981-06-16,00:00:00.00,0.00114463,0.00184654
167,1981-06-17,00:00:00.00,0.00305159,0.0046472
168,1981-06-18,00:00:00.00,0.00872034,0.0126205
169,1981-06-19,00:00:00.00,0.0155824,0.0227205
170,1981-06-20,00:00:00.00,0.0240016,0.0351727
171,1981-06-21,00:00:00.00,0.0413383,0.0587916
172,1981-06-22,00:00:00.00,0.0615912,0.0866244
173,1981-06-23,00:00:00.00,0.0874682,0.121353
174,1981-06-24,00:00:00.00,0.134293,0.184808
175,1981-06-25,00:00:00.00,0.0268969,0.0441633
176,1981-06-26,00:00:00.00,0.0198186,0.0312792
177,1981-06-27,00:00:00.00,0.0712562,0.0933847
178,1981-06-28,00:00:00.00,0.120372,0.157868
179,1981-06-29,00:00:00.00,0.0285983,0.0440236
180,1981-06-30,00:00:00.00,0.0179252,0.0269357
181,1981-07-01,00:00:00.00,0.0615163,0.0777085
182,1981-07-02,00:00:00.00,0.106937,0.135657
183,1981-07-03,00:00:00.00,0.167446,0.210956
184,1981-07-04,00:00:00.00,0.256635,0.31883
185,1981-07-05,00:00:00.00,0.370127,0.449213
186,1981-07-06,00:00:00.00,0.537134,0.62826
187,1981-07-07,00:00:00.00,0.767981,0.844735
188,1981-07-08,00:00:00.00,0.946677,0.975557
189,1981-07-09,00:00:00.00,0.993038,1
190,1981-07-10,00:00:00.00,0.998833,1
191,1981-07-11,00:00:00.00,1,1
192,1981-07-12,00:00:00.00,1,1
193,1981-07-13,00:00:00.00,1,1
194,1981-07-14,00:00:00.00,1,1
195,1981-07-15,00:00:00.00,1,1
196,1981-07-16,00:00:00.00,1,1
197,1981-07-17,00:00:00.00,1,1
198,1981-07-18,00:00:00.00,1,1
199,1981-07-19,00:00:00.00,1,1
200,1981-07-20,00:00:00.00,1,1
201,1981-07-21,00:00:00.00,1,1
202,1981-07-22,00:00:00.00,1,1
203,1981-07-23,00:00:00.00,1,1
204,1981-07-24,00:00:00.00,1,1
205,1981-07-25,00:00:00.00,1,1
206,1981-07-26,00:00:00.00,1,1
207,1981-07-27,00:00:00.00,1,1
208,1981-07-28,00:00:00.00,1,1
209,1981-07-29,00:00:00.00,1,1
210,1981-07-30,00:00:00.00,1,1
211,1981-07-31,00:00:00.00,1,1
212,1981-08-01,00:00:00.00,1,1
213,1981-08-02,00:00:00.00,1,1
214,1981-08-03,00:00:00.00,1,1
215,1981-08-04,00:00:00.00,0.0204282,0.03002
216,1981-08-05,00:00:00.00,0.0101857,0.0150225
217,1981-08-06,00:00:00.00,1,1
218,1981-08-07,00:00:00.00,1,1
219,1981-08-08,00:00:00.00,1,1
220,1981-08-09,00:00:00.00,1,1
221,1981-08-10,00:00:00.00,1,1
222,1981-08-11,00:00:00.00,1,1
223,1981-08-12,00:00:00.00,1,1
224,1981-08-13,00:00:00.00,1,1
225,1981-08-14,00:00:00.00,1,1
226,1981-08-15,00:00:00.00,1,1
227,1981-08-16,00:00:00.00,1,1
228,1981-08-17,00:00:00.00,1,1
229,1981-08-18,00:00:00.00,1,1
230,1981-08-19,00:00:00.00,1,1
231,1981-08-20,00:00:00.00,1,1
232,1981-08-21,00:00:00.00,1,1
233,1981-08-22,00:00:00.00,1,1
234,1981-08-23,00:00:00.00,1,1
235,1981-08-24,00:00:00.00,1,1
236,1981-08-25,00:00:00.00,1,1
237,1981-08-26,00:00:00.00,1,1
238,1981-08-27,00:00:00.00,1,1
239,1981-08-28,00:00:00.00,1,1
240,1981-08-29,00:00:00.00,1,1
241,1981-08-30,00:00:00.00,1,1
242,1981-08-31,00:00:00.00,1,1
243,1981-09-01,00:00:00.00,1,1
244,1981-09-02,00:00:00.00,1,1
245,1981-09-03,00:00:00.00,1,1
246,1981-09-04,00:00:00.00,1,1
247,1981-09-05,00:00:00.00,1,1
248,1981-09-06,00:00:00.00,1,1
249,1981-09-07,00:00:00.00,1,1
250,1981-09-08,00:00:00.00,1,1
251,1981-09-09,00:00:00.00,1,1
252,1981-09-10,00:00:00.00,1,1
253,1981-09-11,00:00:00.00,1,1
254,1981-09-12,00:00:00.00,1,1
255,1981-09-13,00:00:00.00,1,1
256,1981-09-14,00:00:00.00,1,1
257,1981-09-15,00:00:00.00,1,1
258,1981-09-16,00:00:00.00,1,1
259,1981-09-17,00:00:00.00,1,1
260,1981-09-18,00:00:00.00,1,1
261,1981-09-19,00:00:00.00,1,1
262,1981-09-20,00:00:00.00,1,1
263,1981-09-21,00:00:00.00,1,1
264,1981-09-22,00:00:00.00,1,1
265,1981-09-23,00:00:00.00,1,1
266,1981-09-24,00:00:00.00,1,1
267,1981-09-25,00:00:00.00,1,1
268,1981-09-26,00:00:00.00,1,1
269,1981-09-27,00:00:00.00,1,1
270,1981-09-28,00:00:00.00,1,1
271,1981-09-29,00:00:00.00,1,1
272,1981-09-30,00:00:00.00,1,1
273,1981-10-01,00:00:00.00,1,1
274,1981-10-02,00:00:00.00,1,1
275,1981-10-03,00:00:00.00,1,1
276,1981-10-04,00:00:00.00,1,1
277,1981-10-05,00:00:00.00,1,1
278,1981-10-06,00:00:00.00,1,1
279,1981-10-07,00:00:00.00,1,1
280,1981-10-08,00:00:00.00,1,1
281,1981-10-09,00:00:00.00,1,1
282,1981-10-10,00:00:00.00,1,1
283,1981-10-11,00:00:00.00,1,1
284,1981-10-12,00:00:00.00,1,1
285,1981-10-13,00:00:00.00,1,1
286,1981-10-14,00:00:00.00,1,1
287,1981-10-15,00:00:00.00,1,1
288,1981-10-16,00:00:00.00,0.000175746,0.000291578
289,1981-10-17,00:00:00.00,1,1
290,1981-10-18,00:00:00.00,0.000115864,0.000230256
291,1981-10-19,00:00:00.00,0.000113685,0.000230217
292,1981-10-20,00:00:00.00,0.000193805,0.000392409
293,1981-10-21,00:00:00.00,0.000215216,0.00043659
294,1981-10-22,00:00:00.00,0.00174914,0.00351535
295,1981-10-23,00:00:00.00,0.0617962,0.0887242
296,1981-10-24,00:00:00.00,0.00717713,0.0140441
297,1981-10-25,00:00:00.00,0.00884246,0.0171828
298,1981-10-26,00:00:00.00,0.00811838,0.0159046
299,1981-10-27,00:00:00.00,0.000755801,0.00153353
300,1981-10-28,00:00:00.00,0.000212889,0.000425191
