 model_time, W_Stem_sub_sim_0116, W_Stem_sub_obs_0116, W_Stem_sub_sim_0178, W_Stem_sub_obs_0178,
       1, 135849.91,            , 135849.91,            ,
       2, 135849.91,            , 135849.91,            ,
       3, 135849.91,            , 135849.91,            ,
       4, 135849.91,            , 135849.91,            ,
       5, 135849.91,            , 135849.91,            ,
       6, 135849.91,            , 135849.91,            ,
       7, 135849.91,            , 135849.91,            ,
       8, 135849.91,            , 135849.91,            ,
       9, 135849.91,            , 135849.91,            ,
      10, 135849.91,            , 135849.91,            ,
      11, 135849.91,            , 135849.91,            ,
      12, 135849.91,            , 135849.91,            ,
      13, 135849.91,            , 135849.91,            ,
      14, 135849.91,            , 135849.91,            ,
      15, 135849.91,            , 135849.91,            ,
      16, 135849.91,            , 135849.91,            ,
      17, 135849.91,            , 135849.91,            ,
      18, 135849.91,            , 135849.91,            ,
      19, 135849.91,            , 135849.91,            ,
      20, 135849.91,            , 135849.91,            ,
      21, 135849.91,            , 135849.91,            ,
      22, 135849.91,            , 135849.91,            ,
      23, 135849.91,            , 135849.91,            ,
      24, 135849.91,            , 135849.91,            ,
      25, 135849.91,            , 135849.91,            ,
      26, 135849.91,            , 135849.91,            ,
      27, 135849.91,            , 135849.91,            ,
      28, 135849.91,            , 135849.91,            ,
      29, 135849.91,            , 135849.91,            ,
      30, 135849.91,            , 135849.91,            ,
      31, 135849.91,            , 135849.91,            ,
      32, 135844.08,            , 135844.08,            ,
      33, 135838.25,            , 135838.25,            ,
      34, 135832.42,            , 135832.42,            ,
      35, 135826.59,            , 135826.59,            ,
      36, 135820.77,            , 135820.77,            ,
      37, 135814.94,            , 135814.94,            ,
      38, 135809.11,            , 135809.11,            ,
      39, 135803.28,            , 135803.28,            ,
      40, 135797.45,            , 135797.45,            ,
      41, 135791.62,            , 135791.62,            ,
      42, 135785.80,            , 135785.80,            ,
      43, 135779.97,            , 135779.97,            ,
      44, 135774.14,            , 135774.14,            ,
      45, 135768.33,            , 135768.33,            ,
      46, 135762.52,            , 135762.52,            ,
      47, 135756.70,            , 135756.70,            ,
      48, 135750.89,            , 135750.89,            ,
      49, 135745.08,            , 135745.08,            ,
      50, 135739.27,            , 135739.27,            ,
      51, 135733.45,            , 135733.45,            ,
      52, 135727.64,            , 135727.64,            ,
      53, 135721.83,            , 135721.83,            ,
      54, 135716.02,            , 135716.02,            ,
      55, 135710.20,            , 135710.20,            ,
      56, 135704.39,            , 135704.39,            ,
      57, 135698.58,            , 135698.58,            ,
      58, 135692.77,            , 135692.77,            ,
      59, 135686.95,            , 135686.95,            ,
      60, 135681.14,            , 135681.14,            ,
      61, 135675.33,            , 135675.33,            ,
      62, 135669.52,            , 135669.52,            ,
      63, 135663.70,            , 135663.70,            ,
      64, 135657.89,            , 135657.89,            ,
      65, 135652.08,            , 135652.08,            ,
      66, 135646.27,            , 135646.27,            ,
      67, 135640.45,            , 135640.45,            ,
      68, 135634.64,            , 135634.64,            ,
      69, 135628.83,            , 135628.83,            ,
      70, 135623.02,            , 135623.02,            ,
      71, 135617.20,            , 135617.20,            ,
      72, 135611.39,            , 135611.39,            ,
      73, 135605.58,            , 135605.58,            ,
      74, 135599.77,            , 135599.77,            ,
      75, 135593.95,            , 135593.95,            ,
      76, 135588.14,            , 135588.14,            ,
      77, 135582.33,            , 135582.33,            ,
      78, 135576.52,            , 135576.52,            ,
      79, 135570.70,            , 135570.70,            ,
      80, 135564.89,            , 135564.89,            ,
      81, 135559.08,            , 135559.08,            ,
      82, 135553.27,            , 135553.27,            ,
      83, 135547.45,            , 135547.45,            ,
      84, 135541.64,            , 135541.64,            ,
      85, 135535.83,            , 135535.83,            ,
      86, 135530.02,            , 135530.02,            ,
      87, 135524.20,            , 135524.20,            ,
      88, 135518.39,            , 135518.39,            ,
      89, 135512.58,            , 135512.58,            ,
      90, 135506.77,            , 135506.77,            ,
      91, 135500.95,            , 135500.95,            ,
      92, 135495.14,            , 135495.14,            ,
      93, 135489.33,            , 135489.33,            ,
      94, 135483.52,            , 135483.52,            ,
      95, 135477.70,            , 135477.70,            ,
      96, 135471.89,            , 135471.89,            ,
      97, 135466.08,            , 135466.08,            ,
      98, 135460.27,            , 135460.27,            ,
      99, 135454.45,            , 135454.45,            ,
     100, 135448.64,            , 135448.64,            ,
     101, 135442.83,            , 135442.83,            ,
     102, 135437.02,            , 135437.02,            ,
     103, 135431.20,            , 135431.20,            ,
     104, 135425.39,            , 135425.39,            ,
     105, 135419.58,            , 135419.58,            ,
     106, 135413.77,            , 135413.77,            ,
     107, 135407.97,            , 135407.97,            ,
     108, 135402.17,            , 135402.17,            ,
     109, 135396.38,            , 135396.38,            ,
     110, 135390.58,            , 135390.58,            ,
     111, 135384.78,            , 135384.78,            ,
     112, 135378.98,            , 135378.98,            ,
     113, 135373.19,            , 135373.19,            ,
     114, 135367.39,            , 135367.39,            ,
     115, 135361.59,            , 135361.59,            ,
     116, 135355.80,            , 135355.80,            ,
     117, 135350.00,            , 135350.00,            ,
     118, 135344.20,            , 135344.20,            ,
     119, 135338.41,            , 135338.41,            ,
     120, 135332.61,            , 135332.61,            ,
     121, 135326.81,            , 135326.81,            ,
     122, 135321.02,            , 135321.02,            ,
     123, 135315.22,            , 135315.22,            ,
     124, 135309.42,            , 135309.42,            ,
     125, 135303.62,            , 135303.62,            ,
     126, 135297.83,            , 135297.83,            ,
     127, 135292.03,            , 135292.03,            ,
     128, 135286.23,            , 135286.23,            ,
     129, 135280.44,            , 135280.44,            ,
     130, 135274.64,            , 135274.64,            ,
     131, 135268.84,            , 135268.84,            ,
     132, 135263.05,            , 135263.05,            ,
     133, 135257.25,            , 135257.25,            ,
     134, 135251.45,            , 135251.45,            ,
     135, 135245.66,            , 135245.66,            ,
     136, 135239.86,            , 135239.86,            ,
     137, 135234.06,            , 135234.06,            ,
     138, 135228.27,            , 135228.27,            ,
     139, 135222.47,            , 135222.47,            ,
     140, 135216.67,            , 135216.67,            ,
     141, 135210.88,            , 135210.88,            ,
     142, 135205.08,            , 135205.08,            ,
     143, 135199.28,            , 135199.28,            ,
     144, 135193.48,            , 135193.48,            ,
     145, 135187.69,            , 135187.69,            ,
     146, 135181.89,            , 135181.89,            ,
     147, 135176.09,            , 135176.09,            ,
     148, 135170.30,            , 135170.30,            ,
     149, 135164.50,            , 135164.50,            ,
     150, 135158.70,            , 135158.70,            ,
     151, 135152.91,            , 135152.91,            ,
     152, 135147.11,            , 135147.11,            ,
     153, 135141.31,            , 135141.31,            ,
     154, 135135.52,            , 135135.52,            ,
     155, 135129.72,            , 135129.72,            ,
     156, 135123.92,            , 135123.92,            ,
     157, 135118.12,            , 135118.12,            ,
     158, 135112.33,            , 135112.33,            ,
     159, 135106.53,            , 135106.53,            ,
     160, 135100.73,            , 135100.73,            ,
     161, 135094.94,            , 135094.94,            ,
     162, 135089.14,            , 135089.14,            ,
     163, 135083.34,            , 135083.34,            ,
     164, 135077.55,            , 135077.55,            ,
     165, 135071.75,            , 135071.75,            ,
     166, 135065.95,            , 135065.95,            ,
     167, 135060.16,            , 135060.16,            ,
     168, 135054.36,            , 135054.36,            ,
     169, 135048.56,            , 135048.56,            ,
     170, 135042.78,            , 135042.78,            ,
     171, 135037.00,            , 135037.00,            ,
     172, 135034.80,            , 135035.02,            ,
     173, 135034.22,            , 135034.62,            ,
     174, 135036.22,            , 135036.84,            ,
     175, 135032.05,            , 135032.70,            ,
