 model_time, W_Stem_sub_sim_0116, W_Stem_sub_obs_0116, W_Stem_sub_sim_0178, W_Stem_sub_obs_0178,
     176, 135027.95,            , 135028.64,            ,
     177, 135040.47,            , 135041.55,            ,
     178, 135062.78,            , 135064.23,            ,
     179, 135070.31,            , 135071.92,            ,
     180, 135083.02,            , 135084.77,            ,
     181, 135104.69,            , 135106.67,            ,
     182, 135138.94,            , 135141.19,            ,
     183, 135162.52,            , 135164.95,            ,
     184, 135188.89,            , 135191.48,            ,
     185, 135213.19,            , 135215.91,            ,
     186, 135255.91,            , 135258.12,            ,
     187, 135300.77,            , 135303.12,            ,
     188, 135335.78,            , 135338.23,            ,
     189, 135365.16,            , 135367.69,            ,
     190, 135405.12,            , 135407.75,            ,
     191, 135456.33,            , 135460.19,            ,
     192, 135497.45,            , 135502.03,            ,
     193, 135525.88,            , 135530.55,            ,
     194, 135545.28,            , 135551.14,            ,
     195, 135580.39,            , 135588.38,            ,
     196, 135621.61,            , 135632.31,            ,
     197, 135651.84,            , 135662.75,            ,
     198, 135675.75,            , 135688.73,            ,
     199, 135710.42,            , 135724.14,            ,
     200, 135746.12,            , 135761.56,            ,
     201, 135767.73,            , 135783.33,            ,
     202, 135782.56,            , 135799.72,            ,
     203, 135831.75,            , 135853.11,            ,
     204, 135879.22,            , 135904.75,            ,
     205, 135923.06,            , 135951.05,            ,
     206, 135965.91,            , 135994.27,            ,
     207, 136012.80,            , 136042.42,            ,
     208, 136060.53,            , 136094.41,            ,
     209, 136090.56,            , 136124.70,            ,
     210, 136102.72,            , 136138.20,            ,
     211, 136150.47,            , 136189.91,            ,
     212, 136192.09,            , 136234.88,            ,
     213, 136206.08,            , 136249.02,            ,
     214, 136225.84,            , 136268.98,            ,
     215, 136280.19,            , 136323.81,            ,
     216, 136326.38,            , 136370.41,            ,
     217, 136380.14,            , 136424.61,            ,
     218, 136433.81,            , 136478.70,            ,
     219, 136463.08,            , 136508.19,            ,
     220, 136498.28,            , 136543.56,            ,
     221, 136571.70,            , 136617.45,            ,
     222, 136618.08,            , 136664.12,            ,
     223, 136679.06,            , 136725.45,            ,
     224, 136736.66,            , 136783.38,            ,
     225, 136810.72,            , 136857.72,            ,
     226, 136843.16,            , 136890.33,            ,
     227, 136884.09,            , 136931.48,            ,
     228, 136962.23,            , 137009.59,            ,
     229, 137055.16,            , 137102.89,            ,
     230, 137139.75,            , 137187.80,            ,
     231, 137219.72,            , 137267.00,            ,
     232, 137296.02,            , 137343.55,            ,
     233, 137369.56,            , 137416.39,            ,
     234, 137431.11,            , 137477.94,            ,
     235, 137461.58,            , 137508.52,            ,
     236, 137481.31,            , 137528.17,            ,
     237, 137527.34,            , 137574.08,            ,
     238, 137537.88,            , 137584.64,            ,
     239, 137552.09,            , 137598.91,            ,
     240, 137625.42,            , 137672.39,            ,
     241, 137659.81,            , 137706.86,            ,
     242, 137686.91,            , 137734.03,            ,
     243, 137711.97,            , 137759.27,            ,
     244, 137716.81,            , 137764.12,            ,
     245, 137725.78,            , 137773.11,            ,
     246, 137801.56,            , 137849.02,            ,
     247, 137852.83,            , 137900.56,            ,
     248, 137885.53,            , 137933.66,            ,
     249, 137919.14,            , 137967.72,            ,
     250, 137940.17,            , 137989.09,            ,
     251, 137993.00,            , 138042.03,            ,
     252, 137998.64,            , 138047.67,            ,
     253, 138017.88,            , 138066.94,            ,
     254, 138039.38,            , 138088.48,            ,
     255, 138063.59,            , 138112.73,            ,
     256, 138131.31,            , 138180.55,            ,
     257, 138200.94,            , 138250.27,            ,
     258, 138237.28,            , 138287.03,            ,
     259, 138253.28,            , 138303.45,            ,
     260, 138262.81,            , 138313.31,            ,
     261, 138268.52,            , 138319.22,            ,
     262, 138273.75,            , 138324.67,            ,
     263, 138272.50,            , 138323.50,            ,
     264, 138266.56,            , 138317.56,            ,
     265, 138260.64,            , 138311.64,            ,
     266, 138261.78,            , 138312.92,            ,
     267, 138268.27,            , 138319.44,            ,
     268, 138269.31,            , 138320.58,            ,
     269, 138267.44,            , 138318.73,            ,
     270, 138265.53,            , 138316.84,            ,
     271, 138259.61,            , 138310.91,            ,
     272, 138271.61,            , 138322.92,            ,
     273, 138265.67,            , 138317.00,            ,
     274, 138259.75,            , 138311.08,            ,
     275, 138253.83,            , 138305.14,            ,
     276, 138247.91,            , 138299.22,            ,
     277, 138241.97,            , 138293.30,            ,
     278, 138238.50,            , 138289.83,            ,
     279, 138235.03,            , 138286.36,            ,
     280, 138229.12,            , 138280.44,            ,
     281, 138223.19,            , 138274.50,            ,
     282, 138217.27,            , 138268.58,            ,
     283, 138222.89,            , 138274.20,            ,
     284, 138239.14,            , 138290.47,            ,
     285, 138259.50,            , 138310.81,            ,
     286, 138288.44,            , 138340.56,            ,
     287, 138288.50,            , 138340.62,            ,
     288, 138287.88,            , 138340.00,            ,
     289, 138281.97,            , 138334.08,            ,
     290, 138286.88,            , 138339.00,            ,
     291, 138282.59,            , 138334.72,            ,
     292, 138276.67,            , 138328.78,            ,
     293, 138270.75,            , 138322.86,            ,
     294, 138264.81,            , 138316.94,            ,
     295, 138258.88,            , 138311.00,            ,
     296, 138252.97,            , 138305.08,            ,
     297, 138247.03,            , 138299.16,            ,
     298, 138241.12,            , 138293.22,            ,
     299, 138235.19,            , 138287.30,            ,
     300, 138229.27,            , 138281.38,            ,
     301, 138223.34,            , 138275.44,            ,
     302, 138217.41,            , 138269.52,            ,
     303, 138211.58,            , 138263.69,            ,
     304, 138208.22,            , 138260.31,            ,
     305, 138204.09,            , 138256.17,            ,
     306, 138198.48,            , 138250.58,            ,
     307, 138193.52,            , 138245.61,            ,
     308, 138194.23,            , 138246.33,            ,
     309, 138188.77,            , 138240.86,            ,
     310, 138182.84,            , 138234.94,            ,
     311, 138176.91,            , 138229.00,            ,
     312, 138171.00,            , 138223.08,            ,
     313, 138165.06,            , 138217.16,            ,
     314, 138159.14,            , 138211.23,            ,
     315, 138153.22,            , 138205.31,            ,
     316, 138147.31,            , 138199.38,            ,
     317, 138141.38,            , 138193.47,            ,
     318, 138135.53,            , 138187.62,            ,
     319, 138132.19,            , 138184.28,            ,
     320, 138132.72,            , 138184.81,            ,
     321, 138126.81,            , 138178.89,            ,
     322, 138120.88,            , 138172.97,            ,
     323, 138114.97,            , 138167.03,            ,
     324, 138109.03,            , 138161.12,            ,
     325, 138103.12,            , 138155.20,            ,
     326, 138097.20,            , 138149.28,            ,
     327, 138091.28,            , 138143.36,            ,
     328, 138085.36,            , 138137.44,            ,
     329, 138079.45,            , 138131.50,            ,
     330, 138073.53,            , 138125.59,            ,
     331, 138067.62,            , 138119.67,            ,
     332, 138061.69,            , 138113.75,            ,
     333, 138055.78,            , 138107.83,            ,
     334, 138049.86,            , 138101.91,            ,
     335, 138043.94,            , 138095.97,            ,
     336, 138043.94,            , 138095.97,            ,
     337, 138043.94,            , 138095.97,            ,
     338, 138043.94,            , 138095.97,            ,
     339, 138043.94,            , 138095.97,            ,
     340, 138043.94,            , 138095.97,            ,
     341, 138043.94,            , 138095.97,            ,
     342, 138043.94,            , 138095.97,            ,
     343, 138043.94,            , 138095.97,            ,
     344, 138043.94,            , 138095.97,            ,
     345, 138043.94,            , 138095.97,            ,
     346, 138043.94,            , 138095.97,            ,
     347, 138043.94,            , 138095.97,            ,
     348, 138043.94,            , 138095.97,            ,
     349, 138043.94,            , 138095.97,            ,
     350, 138043.94,            , 138095.97,            ,
     351, 138043.94,            , 138095.97,            ,
     352, 138043.94,            , 138095.97,            ,
     353, 138043.94,            , 138095.97,            ,
     354, 138043.94,            , 138095.97,            ,
     355, 138043.94,            , 138095.97,            ,
     356, 138043.94,            , 138095.97,            ,
     357, 138043.94,            , 138095.97,            ,
     358, 138043.94,            , 138095.97,            ,
     359, 138043.94,            , 138095.97,            ,
     360, 138043.94,            , 138095.97,            ,
     361, 138043.94,            , 138095.97,            ,
     362, 138043.94,            , 138095.97,            ,
     363, 138043.94,            , 138095.97,            ,
     364, 138043.94,            , 138095.97,            ,
     365, 138043.94,            , 138095.97,            ,
     366, 138043.94,            , 138095.97,            ,
     367, 138043.94,            , 138095.97,            ,
     368, 138043.94,            , 138095.97,            ,
     369, 138043.94,            , 138095.97,            ,
     370, 138043.94,            , 138095.97,            ,
     371, 138043.94,            , 138095.97,            ,
     372, 138043.94,            , 138095.97,            ,
     373, 138043.94,            , 138095.97,            ,
     374, 138043.94,            , 138095.97,            ,
     375, 138043.94,            , 138095.97,            ,
     376, 138043.94,            , 138095.97,            ,
     377, 138043.94,            , 138095.97,            ,
     378, 138043.94,            , 138095.97,            ,
     379, 138043.94,            , 138095.97,            ,
     380, 138043.94,            , 138095.97,            ,
     381, 138043.94,            , 138095.97,            ,
     382, 138043.94,            , 138095.97,            ,
     383, 138043.94,            , 138095.97,            ,
     384, 138043.94,            , 138095.97,            ,
     385, 138043.94,            , 138095.97,            ,
     386, 138043.94,            , 138095.97,            ,
     387, 138043.94,            , 138095.97,            ,
     388, 138043.94,            , 138095.97,            ,
     389, 138043.94,            , 138095.97,            ,
     390, 138043.94,            , 138095.97,            ,
     391, 138043.94,            , 138095.97,            ,
     392, 138043.94,            , 138095.97,            ,
     393, 138043.94,            , 138095.97,            ,
     394, 138043.94,            , 138095.97,            ,
     395, 138043.94,            , 138095.97,            ,
     396, 138043.94,            , 138095.97,            ,
     397, 138038.02,            , 138090.06,            ,
     398, 138032.11,            , 138084.14,            ,
     399, 138026.19,            , 138078.22,            ,
     400, 138020.28,            , 138072.30,            ,
     401, 138014.34,            , 138066.38,            ,
     402, 138008.44,            , 138060.44,            ,
     403, 138002.52,            , 138054.53,            ,
     404, 137996.59,            , 138048.61,            ,
     405, 137990.67,            , 138042.69,            ,
     406, 137984.77,            , 138036.77,            ,
     407, 137978.84,            , 138030.84,            ,
     408, 137972.94,            , 138024.91,            ,
     409, 137967.00,            , 138019.00,            ,
     410, 137961.09,            , 138013.08,            ,
     411, 137955.19,            , 138007.17,            ,
     412, 137949.28,            , 138001.27,            ,
     413, 137943.36,            , 137995.34,            ,
     414, 137937.45,            , 137989.44,            ,
     415, 137931.55,            , 137983.53,            ,
     416, 137925.62,            , 137977.61,            ,
     417, 137919.72,            , 137971.70,            ,
     418, 137913.81,            , 137965.80,            ,
     419, 137907.91,            , 137959.88,            ,
     420, 137902.00,            , 137953.97,            ,
     421, 137896.08,            , 137948.06,            ,
     422, 137890.17,            , 137942.14,            ,
     423, 137884.27,            , 137936.23,            ,
     424, 137878.34,            , 137930.33,            ,
     425, 137872.44,            , 137924.41,            ,
     426, 137866.53,            , 137918.50,            ,
     427, 137860.62,            , 137912.59,            ,
     428, 137854.72,            , 137906.67,            ,
     429, 137848.80,            , 137900.77,            ,
     430, 137842.89,            , 137894.86,            ,
     431, 137836.98,            , 137888.94,            ,
     432, 137831.06,            , 137883.03,            ,
     433, 137825.16,            , 137877.12,            ,
     434, 137819.25,            , 137871.20,            ,
     435, 137813.34,            , 137865.30,            ,
     436, 137807.44,            , 137859.39,            ,
     437, 137801.52,            , 137853.47,            ,
     438, 137795.61,            , 137847.56,            ,
     439, 137789.70,            , 137841.66,            ,
     440, 137783.80,            , 137835.75,            ,
     441, 137777.89,            , 137829.84,            ,
     442, 137771.98,            , 137823.94,            ,
     443, 137766.08,            , 137818.03,            ,
     444, 137760.17,            , 137812.12,            ,
     445, 137754.27,            , 137806.22,            ,
     446, 137748.38,            , 137800.31,            ,
     447, 137742.47,            , 137794.41,            ,
     448, 137736.56,            , 137788.50,            ,
     449, 137730.66,            , 137782.59,            ,
     450, 137724.77,            , 137776.69,            ,
     451, 137718.86,            , 137770.78,            ,
     452, 137712.95,            , 137764.88,            ,
     453, 137707.05,            , 137758.97,            ,
     454, 137701.16,            , 137753.06,            ,
     455, 137695.25,            , 137747.16,            ,
     456, 137689.34,            , 137741.25,            ,
     457, 137683.44,            , 137735.34,            ,
     458, 137677.55,            , 137729.44,            ,
     459, 137671.64,            , 137723.53,            ,
     460, 137665.73,            , 137717.62,            ,
     461, 137659.83,            , 137711.72,            ,
     462, 137653.94,            , 137705.81,            ,
     463, 137648.03,            , 137699.91,            ,
     464, 137642.12,            , 137694.00,            ,
     465, 137636.22,            , 137688.09,            ,
     466, 137630.33,            , 137682.19,            ,
     467, 137624.42,            , 137676.28,            ,
     468, 137618.52,            , 137670.38,            ,
     469, 137612.61,            , 137664.47,            ,
     470, 137606.72,            , 137658.56,            ,
     471, 137600.81,            , 137652.66,            ,
     472, 137594.92,            , 137646.77,            ,
     473, 137589.02,            , 137640.88,            ,
     474, 137583.14,            , 137634.97,            ,
     475, 137577.23,            , 137629.08,            ,
     476, 137571.34,            , 137623.19,            ,
     477, 137565.44,            , 137617.28,            ,
     478, 137559.56,            , 137611.39,            ,
     479, 137553.66,            , 137605.50,            ,
     480, 137547.77,            , 137599.59,            ,
     481, 137541.86,            , 137593.70,            ,
     482, 137535.98,            , 137587.81,            ,
     483, 137530.08,            , 137581.91,            ,
     484, 137524.19,            , 137576.02,            ,
     485, 137518.28,            , 137570.12,            ,
     486, 137512.41,            , 137564.22,            ,
     487, 137506.50,            , 137558.33,            ,
     488, 137500.61,            , 137552.44,            ,
     489, 137494.70,            , 137546.53,            ,
     490, 137488.83,            , 137540.64,            ,
     491, 137482.92,            , 137534.75,            ,
     492, 137477.03,            , 137528.84,            ,
     493, 137471.12,            , 137522.95,            ,
     494, 137465.25,            , 137517.06,            ,
     495, 137459.34,            , 137511.16,            ,
     496, 137453.45,            , 137505.27,            ,
     497, 137447.55,            , 137499.38,            ,
     498, 137441.67,            , 137493.47,            ,
     499, 137435.77,            , 137487.58,            ,
     500, 137429.88,            , 137481.69,            ,
     501, 137423.98,            , 137475.80,            ,
     502, 137418.09,            , 137469.91,            ,
     503, 137412.20,            , 137464.02,            ,
     504, 137406.31,            , 137458.12,            ,
     505, 137400.42,            , 137452.23,            ,
     506, 137394.53,            , 137446.34,            ,
     507, 137388.64,            , 137440.45,            ,
     508, 137382.75,            , 137434.56,            ,
     509, 137376.86,            , 137428.67,            ,
     510, 137370.98,            , 137422.78,            ,
     511, 137365.09,            , 137416.89,            ,
     512, 137359.22,            , 137411.00,            ,
     513, 137353.31,            , 137405.11,            ,
     514, 137347.44,            , 137399.22,            ,
     515, 137341.55,            , 137393.33,            ,
     516, 137335.66,            , 137387.44,            ,
     517, 137329.77,            , 137381.55,            ,
     518, 137323.89,            , 137375.66,            ,
     519, 137318.00,            , 137369.77,            ,
     520, 137312.12,            , 137363.88,            ,
     521, 137306.22,            , 137357.98,            ,
     522, 137300.34,            , 137352.09,            ,
     523, 137294.88,            , 137346.77,            ,
     524, 137292.22,            , 137343.97,            ,
     525, 137291.11,            , 137342.72,            ,
     526, 137289.62,            , 137341.12,            ,
     527, 137289.94,            , 137341.30,            ,
     528, 137301.69,            , 137352.75,            ,
     529, 137305.59,            , 137356.53,            ,
     530, 137311.55,            , 137362.44,            ,
     531, 137314.33,            , 137365.12,            ,
     532, 137318.28,            , 137368.98,            ,
     533, 137319.28,            , 137369.92,            ,
     534, 137323.12,            , 137373.69,            ,
     535, 137337.25,            , 137387.67,            ,
     536, 137352.69,            , 137403.39,            ,
     537, 137372.19,            , 137423.45,            ,
     538, 137389.97,            , 137441.19,            ,
     539, 137415.98,            , 137467.17,            ,
     540, 137430.97,            , 137482.12,            ,
     541, 137453.91,            , 137505.02,            ,
     542, 137507.28,            , 137558.34,            ,
     543, 137557.59,            , 137608.61,            ,
     544, 137600.42,            , 137651.89,            ,
     545, 137643.58,            , 137697.28,            ,
     546, 137704.19,            , 137761.08,            ,
     547, 137758.89,            , 137818.89,            ,
     548, 137803.38,            , 137865.53,            ,
     549, 137834.55,            , 137898.70,            ,
     550, 137867.44,            , 137933.72,            ,
     551, 137915.84,            , 137985.06,            ,
     552, 137921.83,            , 137991.12,            ,
     553, 137938.94,            , 138008.39,            ,
     554, 138006.56,            , 138076.52,            ,
     555, 138053.17,            , 138123.44,            ,
     556, 138073.86,            , 138144.28,            ,
     557, 138078.55,            , 138149.03,            ,
     558, 138085.20,            , 138155.75,            ,
     559, 138146.45,            , 138217.33,            ,
     560, 138192.41,            , 138263.52,            ,
     561, 138244.92,            , 138316.02,            ,
     562, 138260.42,            , 138331.58,            ,
     563, 138282.12,            , 138353.39,            ,
     564, 138334.64,            , 138406.12,            ,
     565, 138438.08,            , 138509.94,            ,
     566, 138535.39,            , 138607.56,            ,
     567, 138601.39,            , 138673.75,            ,
     568, 138668.31,            , 138740.86,            ,
     569, 138745.39,            , 138818.11,            ,
     570, 138803.28,            , 138876.14,            ,
     571, 138857.44,            , 138930.16,            ,
     572, 138920.08,            , 138992.72,            ,
     573, 138982.78,            , 139055.33,            ,
     574, 139044.25,            , 139116.69,            ,
     575, 139110.62,            , 139183.00,            ,
     576, 139134.22,            , 139206.61,            ,
     577, 139159.69,            , 139232.11,            ,
     578, 139185.50,            , 139257.95,            ,
     579, 139196.91,            , 139269.44,            ,
     580, 139213.66,            , 139286.22,            ,
     581, 139230.55,            , 139303.12,            ,
     582, 139297.81,            , 139370.45,            ,
     583, 139362.67,            , 139435.39,            ,
     584, 139402.73,            , 139475.48,            ,
     585, 139446.34,            , 139519.14,            ,
     586, 139465.83,            , 139538.66,            ,
     587, 139484.66,            , 139557.48,            ,
     588, 139535.00,            , 139607.88,            ,
     589, 139596.81,            , 139670.00,            ,
     590, 139650.45,            , 139725.09,            ,
     591, 139689.12,            , 139763.80,            ,
     592, 139709.41,            , 139784.55,            ,
     593, 139758.34,            , 139834.42,            ,
     594, 139814.12,            , 139891.05,            ,
     595, 139863.97,            , 139941.53,            ,
     596, 139899.69,            , 139977.66,            ,
     597, 139913.56,            , 139991.53,            ,
     598, 139930.56,            , 140008.56,            ,
     599, 140002.12,            , 140080.17,            ,
     600, 140034.48,            , 140112.55,            ,
     601, 140062.73,            , 140140.83,            ,
     602, 140084.78,            , 140162.88,            ,
     603, 140110.78,            , 140188.89,            ,
     604, 140158.64,            , 140236.78,            ,
     605, 140204.91,            , 140283.05,            ,
     606, 140231.45,            , 140309.64,            ,
     607, 140230.56,            , 140308.75,            ,
     608, 140247.20,            , 140325.41,            ,
     609, 140293.67,            , 140371.91,            ,
     610, 140299.11,            , 140377.33,            ,
     611, 140304.38,            , 140382.59,            ,
     612, 140309.58,            , 140387.80,            ,
     613, 140329.80,            , 140408.03,            ,
     614, 140337.66,            , 140415.89,            ,
     615, 140345.44,            , 140423.67,            ,
     616, 140407.53,            , 140485.78,            ,
     617, 140438.69,            , 140516.97,            ,
     618, 140476.55,            , 140554.84,            ,
     619, 140529.69,            , 140608.02,            ,
     620, 140539.25,            , 140617.58,            ,
     621, 140550.42,            , 140628.73,            ,
     622, 140562.84,            , 140641.16,            ,
     623, 140584.78,            , 140663.09,            ,
     624, 140579.06,            , 140657.38,            ,
     625, 140577.62,            , 140655.92,            ,
     626, 140573.31,            , 140651.62,            ,
     627, 140570.34,            , 140648.64,            ,
     628, 140569.09,            , 140647.38,            ,
     629, 140566.23,            , 140644.52,            ,
     630, 140574.38,            , 140652.67,            ,
     631, 140598.62,            , 140676.92,            ,
     632, 140643.33,            , 140721.64,            ,
     633, 140641.42,            , 140719.73,            ,
     634, 140637.03,            , 140715.34,            ,
     635, 140641.33,            , 140719.64,            ,
     636, 140646.84,            , 140725.16,            ,
     637, 140673.61,            , 140751.92,            ,
     638, 140703.78,            , 140782.09,            ,
     639, 140710.67,            , 140788.98,            ,
     640, 140719.27,            , 140797.58,            ,
     641, 140737.55,            , 140815.86,            ,
     642, 140747.12,            , 140825.44,            ,
     643, 140754.67,            , 140832.98,            ,
     644, 140793.02,            , 140871.33,            ,
     645, 140796.33,            , 140874.64,            ,
     646, 140796.95,            , 140875.27,            ,
     647, 140796.47,            , 140874.78,            ,
     648, 140809.86,            , 140888.17,            ,
     649, 140808.17,            , 140886.48,            ,
     650, 140806.91,            , 140885.23,            ,
     651, 140806.95,            , 140885.25,            ,
     652, 140806.55,            , 140884.88,            ,
     653, 140801.84,            , 140880.16,            ,
     654, 140795.81,            , 140874.12,            ,
     655, 140789.77,            , 140868.08,            ,
     656, 140783.75,            , 140862.05,            ,
     657, 140785.08,            , 140863.38,            ,
     658, 140784.92,            , 140863.23,            ,
     659, 140779.94,            , 140858.25,            ,
     660, 140773.91,            , 140852.20,            ,
